hour,timestamp,flare_probability,flare_class,hf_blackout_probability,blackout_severity,confidence
0,2026-02-01T20:04:29.588767+00:00,0.0654,B,0.25276224046417506,R1,0.61962
1,2026-02-01T21:04:29.588767+00:00,0.1385,B,0.310045376639738,R1,0.64155
2,2026-02-01T22:04:29.588767+00:00,0.2248,B,0.3254269167347919,R1,0.66744
3,2026-02-01T23:04:29.588767+00:00,0.1406,B,0.29687998358487,R1,0.64218
4,2026-02-02T00:04:29.588767+00:00,0.2452,B,0.30730811842654626,R1,0.6735599999999999
5,2026-02-02T01:04:29.588767+00:00,0.0394,B,0.25291463160893407,R1,0.61182
6,2026-02-02T02:04:29.588767+00:00,0.0136,B,0.24669768339675863,R1,0.60408
7,2026-02-02T03:04:29.588767+00:00,0.0495,B,0.3131966916910675,R1,0.61485
8,2026-02-02T04:04:29.588767+00:00,0.2147,B,0.3532734840379259,R1,0.66441
9,2026-02-02T05:04:29.588767+00:00,0.1427,B,0.34413896346804823,R1,0.64281
10,2026-02-02T06:04:29.588767+00:00,0.2254,B,0.33199562276497396,R1,0.66762
11,2026-02-02T07:04:29.588767+00:00,0.0547,B,0.34100240620790995,R1,0.61641
12,2026-02-02T08:04:29.588767+00:00,0.451,C,0.5366190584480252,R2,0.7353
13,2026-02-02T09:04:29.588767+00:00,0.2088,B,0.3413929117188869,R1,0.66264
14,2026-02-02T10:04:29.588767+00:00,0.5172,C,0.5134805511396519,R2,0.7551599999999999
15,2026-02-02T11:04:29.588767+00:00,0.372,B,0.38087562939149155,R1,0.7116
16,2026-02-02T12:04:29.588767+00:00,0.1066,B,0.3033013679109056,R1,0.63198
17,2026-02-02T13:04:29.588767+00:00,0.3721,B,0.38868500884250573,R1,0.71163
18,2026-02-02T14:04:29.588767+00:00,0.2406,B,0.3366618677851936,R1,0.67218
19,2026-02-02T15:04:29.588767+00:00,0.0373,B,0.26040395880064443,R1,0.61119
20,2026-02-02T16:04:29.588767+00:00,0.1033,B,0.29244292368334274,R1,0.6309899999999999
21,2026-02-02T17:04:29.588767+00:00,0.0986,B,0.2568351061721703,R1,0.62958
22,2026-02-02T18:04:29.588767+00:00,0.1584,B,0.2792819591382207,R1,0.64752
23,2026-02-02T19:04:29.588767+00:00,0.0631,B,0.2525527288527646,R1,0.61893
